ID,D,Rockfraction,S,FractionSand,Sand%,Texture,Texture2,fr
36B20_1,0.00130891,2.681962025,83.38607595,0.032163188,3.216318786,Clay,96.78368121,0.032163188
36B20_1,0.001031199,2.641469657,83.38607595,0.031677587,3.167758678,Clay,96.83224132,0.031677587
36B20_1,0.000998427,2.546601824,83.38607595,0.030539893,3.053989285,Clay,96.94601072,0.030539893
36B20_1,0.000745298,2.466178022,83.38607595,0.029575418,2.957541764,Clay,97.04245824,0.029575418
11A20_2,2,41.42204827,41.42204827,1,100,Sand,0,1
11A20_2,1,24.91846053,41.42204827,0.601574803,60.15748031,Sand,39.84251969,0.601574803
11A20_2,0.5,15.45988258,41.42204827,0.373228346,37.32283465,Sand,62.67716535,0.373228346
11A20_2,0.25,8.414872798,41.42204827,0.203149606,20.31496063,Sand,79.68503937,0.203149606
11A20_2,0.046277079,6.547097828,41.42204827,0.158058283,15.8058283,Silt,84.1941717,0.158058283
11A20_2,0.038653812,6.547097828,41.42204827,0.158058283,15.8058283,Silt,84.1941717,0.158058283
11A20_2,0.033853685,6.131876959,41.42204827,0.148034132,14.80341319,Silt,85.19658681,0.148034132
11A20_2,0.022915337,5.893515475,41.42204827,0.142279673,14.22796728,Silt,85.77203272,0.142279673
11A20_2,0.020018758,5.641690194,41.42204827,0.136200174,13.62001743,Silt,86.37998257,0.136200174
11A20_2,0.018408954,4.991735223,41.42204827,0.120509135,12.05091354,Silt,87.94908646,0.120509135
11A20_2,0.014553556,4.991735223,41.42204827,0.120509135,12.05091354,Silt,87.94908646,0.120509135
11A20_2,0.010975514,4.133908384,41.42204827,0.09979971,9.97997095,Silt,90.02002905,0.09979971
11A20_2,0.008505616,3.64372162,41.42204827,0.087965752,8.796575185,Silt,91.20342481,0.087965752
11A20_2,0.006004094,3.480326031,41.42204827,0.084021099,8.40210993,Silt,91.59789007,0.084021099
11A20_2,0.00141581,2.540801398,41.42204827,0.061339347,6.133934714,Clay,93.86606529,0.061339347
11A20_2,0.001265129,2.499952501,41.42204827,0.060353184,6.035318401,Clay,93.9646816,0.060353184
11A20_2,0.001012528,2.46220812,41.42204827,0.059441969,5.944196927,Clay,94.05580307,0.059441969
11A20_2,0.000954226,2.46220812,41.42204827,0.059441969,5.944196927,Clay,94.05580307,0.059441969
11A20_2,0.000736689,2.298812532,41.42204827,0.055497317,5.549731672,Clay,94.45026833,0.055497317
21A20_2,2,97.17277487,97.17277487,1,100,Sand,0,1
21A20_2,1,93.40314136,97.17277487,0.961206897,96.12068966,Sand,3.879310345,0.961206897
21A20_2,0.5,80.83769634,97.17277487,0.831896552,83.18965517,Sand,16.81034483,0.831896552
21A20_2,0.25,34.2408377,97.17277487,0.35237069,35.23706897,Sand,64.76293103,0.35237069
21A20_2,0.15,12.56544503,97.17277487,0.129310345,12.93103448,Sand,87.06896552,0.129310345
21A20_2,0.048142645,5.332823198,97.17277487,0.054879808,5.487980769,Silt,94.51201923,0.054879808
21A20_2,0.030165457,5.332823198,97.17277487,0.054879808,5.487980769,Silt,94.51201923,0.054879808
21A20_2,0.029801864,4.349577124,97.17277487,0.044761273,4.476127321,Silt,95.52387268,0.044761273
21A20_2,0.024044461,4.349577124,97.17277487,0.044761273,4.476127321,Silt,95.52387268,0.044761273
21A20_2,0.016981987,4.349577124,97.17277487,0.044761273,4.476127321,Silt,95.52387268,0.044761273
21A20_2,0.011129464,4.107933951,97.17277487,0.042274536,4.227453581,Silt,95.77254642,0.042274536
